vehicle_id,event,event_ts
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-02 20:49:03
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-02 21:47:14
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-03 02:09:38
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-03 02:38:20
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-04 00:55:55
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 00:58:33
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 01:02:13
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 01:02:30
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-04 01:34:41
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-04 06:58:35
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 06:58:51
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-04 07:28:41
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 08:10:05
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-04 08:38:13
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-04 21:27:39
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-04 22:14:49
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-05 21:21:18
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-05 22:02:54
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-05 22:03:09
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-05 22:05:19
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 00:59:30
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-06 01:29:18
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 05:23:36
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 05:44:06
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 05:44:08
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-06 05:45:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-06 21:09:06
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-06 21:53:37
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 01:03:42
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 01:36:04
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 01:36:21
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-07 01:45:16
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 08:47:12
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 09:14:19
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-07 09:14:34
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-07 09:22:51
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-08 21:16:15
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-08 21:49:58
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-09 21:11:11
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-09 21:45:50
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-10 01:05:43
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-10 01:06:06
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-10 01:06:23
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-10 01:18:51
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-10 01:18:55
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-10 01:47:26
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-10 06:05:14
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-10 07:06:46
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-11 07:10:24
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-11 21:37:44
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-11 22:22:22
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-11 22:22:37
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-11 22:27:43
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-11 23:34:54
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-11 23:44:47
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-11 23:44:49
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-11 23:47:05
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-12 21:36:15
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-12 21:58:13
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-12 21:58:30
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-12 22:18:53
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-13 00:36:45
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-13 01:10:10
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-13 06:37:08
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-13 07:03:47
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-13 21:07:32
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-14 04:51:59
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-14 05:37:17
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-14 05:37:30
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-14 05:44:14
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-14 15:41:25
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-14 15:52:27
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-14 17:32:00
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-14 18:26:51
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-15 01:59:33
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-15 02:28:13
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-15 02:30:21
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-15 23:53:29
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-16 00:33:02
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-16 00:33:18
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-16 00:39:10
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-16 07:44:13
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-16 07:46:09
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-16 08:00:31
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-17 01:01:06
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-17 01:02:19
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-17 01:16:52
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-17 02:01:43
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-17 21:02:59
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-17 21:41:38
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 06:33:30
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 06:41:14
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 06:41:20
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 07:02:41
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 07:02:57
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-18 07:10:34
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 20:21:29
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-18 20:47:54
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 22:19:12
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 22:32:04
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-18 22:32:06
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-18 22:51:45
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-19 20:27:10
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-19 21:13:34
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-20 00:37:39
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-20 00:40:10
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-20 00:42:57
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-20 00:50:15
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-20 01:22:25
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-20 21:03:39
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-20 21:05:56
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-20 21:06:11
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Abort,2021-09-20 21:37:08
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-21 02:36:11
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-21 03:10:40
66bd55df-eaf0-49c8-b9e1-7759b85e9325,Active,2021-09-21 03:10:55
